waypoint,    light, oncoming, Left-traffic,      None,    forward,       left,      right, Best Action,Match
     left,    green,     None,  forward,-5.06,0.214,1.944,-0.312,       left,Yes
  forward,      red,     left,     left,2.026,-9.083,-8.957,-0.32,       None,No
     left,      red,    right,  forward,2.053,-24.286,0,-11.525,       None,No
     left,    green,    right,     left,-2.617,-0.667,-12.507,-0.49,      right,No
    right,      red,     left,     left,1.405,-6.047,0,2.557,      right,Yes
     left,      red,     left,    right,2.339,-6.292,0,-0.527,       None,No
     left,      red,  forward,  forward,2.348,-24.006,0,-12.465,       None,No
    right,      red,  forward,     None,1.182,0,0,1.398,      right,Yes
  forward,    green,     None,     left,-2.579,2.047,-0.424,0.163,    forward,Yes
     left,    green,    right,     None,-4.277,-0.104,-12.092,-0.73,    forward,No
     left,    green,     None,     None,-4.52,-0.05,1.899,-0.266,       left,Yes
    right,    green,    right,    right,0,-0.034,0,1.352,      right,Yes
  forward,    green,    right,     left,0,2.485,0,0,    forward,Yes
    right,      red,  forward,    right,0,-6.551,-6.167,0,      right,Yes
     left,    green,  forward,  forward,-2.964,0.161,-12.335,-0.529,    forward,No
     left,    green,     None,     left,-5.221,-0.472,1.943,0,       left,Yes
    right,    green,     left,     None,-0.573,-0.136,-0.25,2.049,      right,Yes
     left,      red,    right,     None,1.978,-8.016,-24.04,-0.354,       None,No
    right,      red,    right,    right,0,-23.495,0,1.363,      right,Yes
