trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.6, 'e': 0.15075567228888181}",20,14,10.574015121456009,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.6, 'e': 0.14907119849998599}",20,15,7.526261681972354,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.6, 'e': 0.14744195615489714}",30,18,3.4433871271760226,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.6, 'e': 0.14586499149789456}",20,14,-7.958176066861514,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
47,False,"{'a': 0.6, 'e': 0.14433756729740646}",25,7,-20.029268142262218,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 0.6, 'e': 0.14285714285714285}",25,17,2.6480499606874246,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.6, 'e': 0.1414213562373095}",20,0,6.906478534730438,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
50,False,"{'a': 0.6, 'e': 0.14002800840280097}",25,0,11.018414364062341,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.6, 'e': 0.1386750490563073}",20,13,12.424871206014156,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.6, 'e': 0.13736056394868904}",35,19,-12.989715884191252,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.6, 'e': 0.13608276348795434}",20,11,10.83991343834093,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.6, 'e': 0.13483997249264842}",20,14,12.763058016924635,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.6, 'e': 0.1336306209562122}",25,13,8.633136136986176,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.6, 'e': 0.13245323570650439}",25,13,19.178335525038882,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.6, 'e': 0.13130643285972254}",25,12,-7.098304489543634,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
58,False,"{'a': 0.6, 'e': 0.13018891098082389}",25,17,12.507090722136986,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.6, 'e': 0.12909944487358055}",20,13,13.344916177843343,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.6, 'e': 0.12803687993289598}",25,12,26.664754975392917,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.6, 'e': 0.1270001270001905}",20,14,0.08167225266481548,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.6, 'e': 0.1259881576697424}",20,6,14.932666799616133,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.6, 'e': 0.125}",25,11,28.325775368453748,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.6, 'e': 0.12403473458920847}",20,0,23.601202089929934,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.6, 'e': 0.12309149097933272}",20,2,-71.99501178350825,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 1}",1
66,False,"{'a': 0.6, 'e': 0.12216944435630522}",20,7,7.882499754059527,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.6, 'e': 0.12126781251816648}",30,17,27.076954970940847,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.6, 'e': 0.1203858530857692}",20,13,14.09452667429808,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
