,0,1
0,AdaBoostClassifier,"{0: {'pred_time': 0.0989999771118164, 'f_test': 0.5965527918257818, 'train_time': 0.1640000343322754, 'acc_train': 1.0, 'acc_test': 0.8049751243781095, 'f_train': 1.0}, 1: {'pred_time': 0.09500002861022949, 'f_test': 0.6573017547224086, 'train_time': 0.6559998989105225, 'acc_train': 0.9366666666666666, 'acc_test': 0.8320619126589276, 'f_train': 0.8764367816091955}, 2: {'pred_time': 0.08999991416931152, 'f_test': 0.7374858669955803, 'train_time': 5.208000183105469, 'acc_train': 0.8733333333333333, 'acc_test': 0.8655610834715313, 'f_train': 0.7638888888888887}}"
1,SVC,"{0: {'pred_time': 0.24900007247924805, 'f_test': 0.6356102125384308, 'train_time': 0.01399993896484375, 'acc_train': 0.84, 'acc_test': 0.8206744057490326, 'f_train': 0.6896551724137931}, 1: {'pred_time': 2.06600022315979, 'f_test': 0.6580920521398086, 'train_time': 1.2379999160766602, 'acc_train': 0.83, 'acc_test': 0.8298507462686567, 'f_train': 0.6538461538461539}, 2: {'pred_time': 15.755000114440918, 'f_test': 0.6817929657161877, 'train_time': 93.13800001144409, 'acc_train': 0.84, 'acc_test': 0.8398009950248756, 'f_train': 0.6835937500000001}}"
2,DecisionTreeClassifier,"{0: {'pred_time': 0.006999969482421875, 'f_test': 0.6649032102921727, 'train_time': 0.002000093460083008, 'acc_train': 0.87, 'acc_test': 0.8318407960199005, 'f_train': 0.7570422535211266}, 1: {'pred_time': 0.006000041961669922, 'f_test': 0.6899100652950597, 'train_time': 0.014999866485595703, 'acc_train': 0.8466666666666667, 'acc_test': 0.8404643449419569, 'f_train': 0.7083333333333333}, 2: {'pred_time': 0.006999969482421875, 'f_test': 0.6912867150055303, 'train_time': 0.11500000953674316, 'acc_train': 0.8466666666666667, 'acc_test': 0.8410171365395246, 'f_train': 0.7083333333333333}}"
